,Tweet_ID,fav_count,retweet_count
73,878316110768087041,0,6698
74,878281511006478336,7743,1300
75,878057613040115712,41985,6886
76,877736472329191424,79830,19275
77,877611172832227328,0,81
78,877556246731214848,22710,3843
79,877316821321428993,27323,5204
80,877201837425926144,27100,5636
81,876838120628539392,20638,3379
82,876537666061221889,23428,4641
83,876484053909872640,18740,2420
84,876120275196170240,27886,4720
85,875747767867523072,25177,4331
86,875144289856114688,21901,4965
87,875097192612077568,27417,6085
88,875021211251597312,25472,4758
89,874680097055178752,27830,4689
90,874434818259525634,0,14905
91,874296783580663808,26064,4150
92,874057562936811520,22655,3983
93,874012996292530176,34677,10574
94,873580283840344065,24258,3984
95,873337748698140672,0,1605
96,873213775632977920,7253,1605
97,872967104147763200,27405,5461
98,872820683541237760,14738,3731
99,872668790621863937,0,28
100,872620804844003328,20829,3757
101,872486979161796608,40769,9115
102,872261713294495745,34316,6415
103,872122724285648897,34548,8238
104,871879754684805121,38183,11375
105,871762521631449091,20323,3524
106,871515927908634625,20290,3505
107,871166179821445120,0,5781
108,871102520638267392,21010,5582
109,871032628920680449,22752,3866
110,870804317367881728,33814,6328
111,870726314365509632,120,3
112,870656317836468226,12496,2692
113,870374049280663552,83180,26722
114,870308999962521604,21946,4230
115,870063196459192321,36931,8520
116,869772420881756160,42724,10254
117,869702957897576449,28468,6462
118,869596645499047938,16104,3199
119,869227993411051520,20621,3874
120,868880397819494401,66271,14863
121,868639477480148993,0,2147
122,868622495443632128,27496,5911
123,868552278524837888,10266,2147
124,867900495410671616,24428,4281
125,867774946302451713,34391,7518
126,867421006826221569,16339,2582
127,867072653475098625,0,131
128,867051520902168576,32664,8093
129,866720684873056260,20365,4968
130,866686824827068416,19605,3589
131,866450705531457537,124079,36291
132,866334964761202691,53389,14905
133,866094527597207552,0,8642
134,865718153858494464,25998,5772
135,865359393868664832,26889,5160
136,865006731092295680,28449,7915
137,864873206498414592,32866,9006
138,864279568663928832,14870,3148
139,864197398364647424,30699,9261
140,863907417377173506,20979,4278
141,863553081350529029,15561,4320
142,863471782782697472,0,2562
143,863432100342583297,24245,5459
144,863427515083354112,2302,100
145,863079547188785154,8935,1135
146,863062471531167744,8697,2562
147,862831371563274240,19556,5267
148,862722525377298433,17419,3663
149,862457590147678208,20956,5144
150,862096992088072192,76191,24202
151,861383897657036800,36834,11105
152,861288531465048066,17564,4331
153,861005113778896900,17102,3962
154,860981674716409858,0,2249
155,860924035999428608,0,850
156,860563773140209665,7674,2249
157,860524505164394496,24154,5493
158,860276583193509888,18737,3621
159,860184849394610176,17081,6084
160,860177593139703809,0,32238
161,859924526012018688,19995,4274
162,859851578198683649,15769,3649
163,859607811541651456,19038,1640
164,859196978902773760,92288,31603
165,859074603037188101,34758,14213
166,858860390427611136,0,8499
167,858843525470990336,15941,3631
168,858471635011153920,22081,5064
169,858107933456039936,16147,3044
170,857989990357356544,16546,2703
171,857746408056729600,35219,11122
172,857393404942143489,6094,1710
173,857263160327368704,20573,4742
174,857214891891077121,236,20
175,857062103051644929,0,178
176,857029823797047296,19468,4200
177,856602993587888130,0,11236
178,856543823941562368,16762,3028
179,856526610513747968,12183,1977
180,856330835276025856,0,713
181,856288084350160898,532,17
182,856282028240666624,28518,6653
183,855862651834028034,357,28
184,855860136149123072,5150,1093
185,855857698524602368,12211,2235
186,855851453814013952,46860,18656
187,855818117272018944,27449,5747
188,855459453768019968,30950,8696
189,855245323840757760,0,6325
190,855138241867124737,0,49
191,854732716440526848,23642,6468
192,854482394044301312,30378,7305
193,854365224396361728,19589,4979
194,854120357044912130,33162,7965
195,854010172552949760,16795,3344
196,853760880890318849,29713,6161
197,853639147608842240,36285,10812
198,853299958564483072,16154,3801
199,852936405516943360,0,2162
200,852912242202992640,9414,1965
201,852672615818899456,15557,2296
202,852553447878664193,17074,3755
203,852311364735569921,34576,10583
204,852226086759018497,20885,7296
205,852189679701164033,11950,1689
